Dependencias,Municipios,Genero,Edad
Secretaría de Recreación y Deporte,SAPUYES,masculino,78
Subsecretaría de Gestión Pública,SAN LORENZO,femenino,79
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",BARBACOAS,femenino,53
Dirección Administrativa de Gestión de Riesgo de Desastres,BARBACOAS,masculino,76
Subsecretaría de Planeación Educativa y Cobertura,EL ROSARIO,femenino,42
Subsecretaría Administrativa,SAPUYES,femenino,71
Subsecretaría de Gestión Ambiental y Crecimiento Verde,SAN PEDRO DE CARTAGO,masculino,84
Dirección Administrativa de Turismo,ILES,masculino,49
Subsecretaría de Gestión Pública,SANTA BARBARA,femenino,68
Secretaría de Ambiente y Desarrollo Sostenible,SAN BERNARDO,femenino,71
Secretaría de Hacienda,TAMINANGO,femenino,52
Secretaría General,SANTACRUZ,femenino,15
Secretaría de Infraestructura y Minas,GUAITARILLA,femenino,51
Subsecretaría de Economía Regional y Agua Potable,GUALMATAN,masculino,69
Dirección Administrativa de Turismo,COLON,masculino,44
Subsecretaría de Economía Regional y Agua Potable,SAPUYES,masculino,34
Subsecretaría de Minas,GUALMATAN,masculino,43
Subsecretaría Administrativa y Financiera,CORDOBA,femenino,80
Subsecretaría de Asistencia Técnica,TUQUERRES,masculino,22
Dirección Administrativa de Turismo,SAN PABLO,masculino,9
Dirección Administrativa de Gestión de Riesgo de Desastres,EL ROSARIO,masculino,55
Secretaría de Hacienda,LA UNION,femenino,25
Subsecretaría de Planeación Educativa y Cobertura,CORDOBA,femenino,22
Secretaría de Infraestructura y Minas,EL TABLON DE GOMEZ,masculino,82
Subsecretaría de Talento Humano,MAGUI,masculino,77
Secretaría de Ambiente y Desarrollo Sostenible,POTOSI,femenino,22
"Secretaría de TIC, Innovación y Gobierno Abierto",PROVIDENCIA,femenino,18
Secretaría de Agricultura y Desarrollo Rural,CUMBAL,femenino,44
Subsecretaría de Gestión Pública,SAN BERNARDO,femenino,60
Oficina Control Interno Diciplinario,ALDANA,masculino,51
Subsecretaría Administrativa,POLICARPA,masculino,21
Subsecretaría de Minas,PUERRES,masculino,63
Subsecretaría de Minas,EL PEÑOL,femenino,45
Secretaría de Hacienda,COLON,masculino,71
Departamento Administrativo de Contratación,SAPUYES,masculino,35
Secretaría de Recreación y Deporte,LOS ANDES,femenino,11
Secretaría General,IMUES,masculino,10
Subsecretaría de Rentas,POTOSI,masculino,70
Subsecretaría Administrativa y Financiera,NARIÑO,femenino,34
Archivo General,GUACHUCAL,masculino,33
Subsecretaría de Minas,MALLAMA,femenino,84
Subsecretaría de Calidad Educativa,LEIVA,masculino,70
Subsecretaría Administrativa,SANTA BARBARA,femenino,56
Secretaría de Planeación,EL PEÑOL,femenino,28
Subsecretaría de Talento Humano,EL TAMBO,masculino,44
Secretaría de Gobierno,TAMINANGO,femenino,75
Subsecretaría de Infraestructura y Vías,SAN BERNARDO,femenino,33
Subsecretaría de Minas,ROBERTO PAYAN,masculino,69
Subsecretaría de Planeación Educativa y Cobertura,SAMANIEGO,masculino,46
Secretaría General,FRANCISCO PIZARRO,masculino,84
Subsecretaría de Paz y Derechos Humanos,MALLAMA,femenino,26
Archivo General,CUMBITARA,masculino,16
Dirección Administrativa de Cultura,ILES,masculino,18
Secretaría de Equidad de Genero e Inclusión Social,OSPINA,femenino,49
Secretaría de Gobierno,TUMACO,masculino,35
Subsecretaría de Calidad Educativa,CORDOBA,femenino,30
Oficina Control Interno de Gestión,EL PEÑOL,femenino,11
Subsecretaría Administrativa y Financiera,EL CHARCO,femenino,73
Subsecretaría de Rentas,CORDOBA,masculino,17
Subsecretaría de Asistencia Técnica,OSPINA,masculino,78
Oficina Control Interno de Gestión,LA CRUZ,masculino,63
Secretaría de Equidad de Genero e Inclusión Social,NARIÑO,masculino,41
Dirección Administrativa de Gestión de Riesgo de Desastres,TUMACO,masculino,78
Dirección Administrativa de Turismo,EL TAMBO,femenino,45
Subsecretaría de Talento Humano,EL TABLON DE GOMEZ,masculino,73
Departamento Administrativo de Contratación,SANDONA,femenino,54
Secretaría de Ambiente y Desarrollo Sostenible,GUALMATAN,femenino,69
Departamento Administrativo de Contratación,IMUES,masculino,6
Subsecretaría de Minas,LA UNION,masculino,22
Secretaría de Equidad de Genero e Inclusión Social,BARBACOAS,masculino,48
Subsecretaría de Paz y Derechos Humanos,ALDANA,femenino,5
Subsecretaría de Desarrollo Comunitario,IPIALES,femenino,56
Subsecretaría de Economía Regional y Agua Potable,ROBERTO PAYAN,femenino,86
Subsecretaría de Gestión Ambiental y Crecimiento Verde,PUPIALES,masculino,62
Subsecretaría de Talento Humano,ALBAN,masculino,46
Subsecretaría Administrativa y Financiera,SAN LORENZO,femenino,46
Subsecretaría de Paz y Derechos Humanos,ROBERTO PAYAN,masculino,78
Subsecretaría de Gestión Ambiental y Crecimiento Verde,GUAITARILLA,femenino,70
Subsecretaría de Minas,TAMINANGO,femenino,52
Subsecretaría de Talento Humano,PUPIALES,masculino,84
Subsecretaría de Gestión Pública,EL PEÑOL,femenino,64
Oficina Jurídica,PUERRES,masculino,11
Archivo General,TANGUA,masculino,42
Subsecretaría de Asistencia Técnica,EL CHARCO,masculino,85
Secretaría de Recreación y Deporte,LA FLORIDA,femenino,61
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",SAN BERNARDO,femenino,56
Subsecretaría de Talento Humano,LA FLORIDA,femenino,75
Secretaría de Gobierno,LA TOLA,masculino,73
Oficina Control Interno de Gestión,GUAITARILLA,masculino,82
Subsecretaría de Planeación Educativa y Cobertura,PROVIDENCIA,masculino,25
Dirección Administrativa de Turismo,NARIÑO,masculino,66
Secretaría de Recreación y Deporte,LA TOLA,femenino,79
Secretaría General,SAMANIEGO,masculino,87
Subsecretaría Administrativa y Financiera,TAMINANGO,masculino,63
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",OLAYA HERRERA,masculino,5
Secretaría de Planeación,OSPINA,masculino,73
Subsecretaría de Infraestructura y Vías,ARBOLEDA,masculino,84
Dirección Administrativa de Turismo,TUQUERRES,femenino,40
Secretaría de Infraestructura y Minas,YACUANQUER,masculino,70
Subsecretaría de Rentas,GUACHUCAL,masculino,24
Subsecretaría Administrativa y Financiera,EL TABLON DE GOMEZ,masculino,62
Subsecretaría de Presupuesto,CUASPUD,femenino,84
Subsecretaría de Planeación Educativa y Cobertura,GUACHUCAL,masculino,6
Subsecretaría de Infraestructura y Vías,TAMINANGO,femenino,43
Secretaría de Infraestructura y Minas,YACUANQUER,femenino,28
Secretaría de Educación,CONTADERO,femenino,88
Secretaría de Agricultura y Desarrollo Rural,LA LLANADA,femenino,25
Subsecretaría de Gestión Ambiental y Crecimiento Verde,ARBOLEDA,masculino,25
Subsecretaría de Asistencia Técnica,LOS ANDES,masculino,56
Oficina Control Interno Diciplinario,MAGUI,femenino,36
Dirección Administrativa de Cultura,FRANCISCO PIZARRO,femenino,31
Subsecretaría de Transito y Trasnporte,MALLAMA,masculino,84
Secretaría de Infraestructura y Minas,YACUANQUER,masculino,84
Subsecretaría de Planeación Educativa y Cobertura,BUESACO,masculino,34
Secretaría General,LA CRUZ,femenino,54
Subsecretaría de Paz y Derechos Humanos,MALLAMA,femenino,12
Secretaría de Ambiente y Desarrollo Sostenible,RICAURTE,masculino,54
Dirección Administrativa de Turismo,LINARES,masculino,45
Subsecretaría de Desarrollo Comunitario,CUMBAL,masculino,60
Dirección Administrativa de Gestión de Riesgo de Desastres,FUNES,masculino,30
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",ROBERTO PAYAN,masculino,68
Secretaría de Educación,SAN BERNARDO,femenino,30
Oficina Control Interno Diciplinario,TANGUA,femenino,42
Secretaría de Hacienda,PUERRES,femenino,40
Subsecretaría de Infraestructura y Vías,RICAURTE,masculino,34
Dirección Administrativa de Gestión de Riesgo de Desastres,ROBERTO PAYAN,femenino,44
"Secretaría de TIC, Innovación y Gobierno Abierto",LA CRUZ,femenino,70
Subsecretaría de Gestión Pública,POTOSI,femenino,84
Secretaría de Infraestructura y Minas,CONTADERO,masculino,31
Secretaría de Agricultura y Desarrollo Rural,CUMBAL,femenino,31
Subsecretaría de Calidad Educativa,SAN BERNARDO,masculino,66
Subsecretaría de Economía Regional y Agua Potable,GUAITARILLA,masculino,33
Subsecretaría de Planeación Educativa y Cobertura,BELEN,femenino,54
Subsecretaría de Gestión Pública,SANTACRUZ,femenino,18
"Secretaría de TIC, Innovación y Gobierno Abierto",CORDOBA,masculino,12
Secretaría de Ambiente y Desarrollo Sostenible,LINARES,femenino,19
Subsecretaría de Minas,LA CRUZ,femenino,59
Secretaría de Infraestructura y Minas,TUMACO,femenino,16
Subsecretaría de Asistencia Técnica,LINARES,masculino,68
Oficina Jurídica,EL TABLON DE GOMEZ,femenino,55
Dirección Administrativa de Cultura,PROVIDENCIA,masculino,31
Secretaría de Equidad de Genero e Inclusión Social,LA TOLA,femenino,38
Secretaría de Agricultura y Desarrollo Rural,EL PEÑOL,masculino,57
Departamento Administrativo de Contratación,CUMBAL,femenino,49
Oficina Jurídica,LOS ANDES,femenino,35
Oficina Control Interno de Gestión,EL ROSARIO,femenino,59
Subsecretaría Administrativa y Financiera,ROBERTO PAYAN,masculino,19
Secretaría de Hacienda,MOSQUERA,masculino,52
Subsecretaría de Gestión Ambiental y Crecimiento Verde,SAPUYES,femenino,52
Subsecretaría de Asistencia Técnica,CUMBAL,femenino,84
Secretaría General,LA TOLA,masculino,14
Secretaría de Hacienda,PUPIALES,masculino,24
Secretaría de Agricultura y Desarrollo Rural,ALBAN,femenino,64
Subsecretaría de Gestión Pública,SAN PEDRO DE CARTAGO,femenino,42
Secretaría de Infraestructura y Minas,ALBAN,femenino,87
Subsecretaría de Presupuesto,CUASPUD,masculino,71
"Secretaría de TIC, Innovación y Gobierno Abierto",EL ROSARIO,masculino,11
Oficina Control Interno Diciplinario,LINARES,femenino,15
Oficina Jurídica,EL PEÑOL,femenino,81
Dirección Administrativa de Cultura,SAMANIEGO,masculino,7
Subsecretaría de Calidad Educativa,BUESACO,masculino,59
Subsecretaría de Calidad Educativa,BUESACO,femenino,12
Subsecretaría de Asistencia Técnica,SANDONA,femenino,44
Oficina Control Interno Diciplinario,ANCUYA,masculino,42
Oficina Control Interno Diciplinario,PROVIDENCIA,femenino,41
Subsecretaría de Calidad Educativa,CONTADERO,masculino,28
Secretaría de Agricultura y Desarrollo Rural,GUALMATAN,femenino,32
Archivo General,PUERRES,femenino,44
Subsecretaría de Economía Regional y Agua Potable,LA CRUZ,masculino,87
Subsecretaría de Minas,SAN BERNARDO,masculino,26
Secretaría de Gobierno,PUERRES,masculino,30
Secretaría de Educación,BARBACOAS,femenino,62
Secretaría de Infraestructura y Minas,PROVIDENCIA,masculino,12
Secretaría de Agricultura y Desarrollo Rural,CUASPUD,femenino,82
Secretaría de Recreación y Deporte,CHACHAGUI,masculino,36
Oficina Control Interno de Gestión,MALLAMA,masculino,48
Dirección Administrativa de Turismo,SAN BERNARDO,femenino,78
Subsecretaría de Planeación Educativa y Cobertura,MOSQUERA,femenino,86
Dirección Administrativa de Cultura,EL PEÑOL,femenino,63
Secretaría de Equidad de Genero e Inclusión Social,CONTADERO,masculino,67
"Secretaría de TIC, Innovación y Gobierno Abierto",IMUES,femenino,40
Subsecretaría de Desarrollo Comunitario,RICAURTE,femenino,88
"Secretaría de TIC, Innovación y Gobierno Abierto",GUACHUCAL,masculino,50
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",SAPUYES,masculino,28
Subsecretaría de Talento Humano,LEIVA,femenino,54
Subsecretaría de Desarrollo Comunitario,OSPINA,masculino,38
Secretaría de Recreación y Deporte,SAN LORENZO,femenino,71
Subsecretaría de Transito y Trasnporte,BUESACO,masculino,21
Secretaría General,SAN PEDRO DE CARTAGO,masculino,45
Subsecretaría de Gestión Pública,SAPUYES,femenino,71
Subsecretaría de Presupuesto,ARBOLEDA,masculino,81
Secretaría de Recreación y Deporte,SAN BERNARDO,femenino,72
Subsecretaría de Rentas,TUMACO,masculino,64
Dirección Administrativa de Cultura,YACUANQUER,femenino,13
Secretaría de Hacienda,YACUANQUER,femenino,33
Secretaría de Hacienda,GUACHUCAL,femenino,55
Subsecretaría de Desarrollo Comunitario,OLAYA HERRERA,femenino,79
Secretaría de Recreación y Deporte,SAPUYES,masculino,28
Secretaría de Equidad de Genero e Inclusión Social,PROVIDENCIA,femenino,31
Secretaría de Recreación y Deporte,BELEN,masculino,16
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",CHACHAGUI,femenino,47
Subsecretaría de Asistencia Técnica,LA FLORIDA,masculino,74
Oficina Jurídica,FRANCISCO PIZARRO,masculino,29
Subsecretaría de Paz y Derechos Humanos,ANCUYA,femenino,5
Subsecretaría de Infraestructura y Vías,FUNES,femenino,84
Secretaría General,LA UNION,masculino,55
Dirección Administrativa de Gestión de Riesgo de Desastres,MOSQUERA,femenino,66
Subsecretaría de Minas,EL TAMBO,femenino,18
Dirección Administrativa de Gestión de Riesgo de Desastres,MALLAMA,masculino,5
Departamento Administrativo de Contratación,ALBAN,masculino,27
"Secretaría de TIC, Innovación y Gobierno Abierto",GUAITARILLA,masculino,23
Subsecretaría de Economía Regional y Agua Potable,LEIVA,femenino,57
Oficina Jurídica,SAN PABLO,femenino,14
Subsecretaría de Desarrollo Comunitario,GUACHUCAL,femenino,23
Subsecretaría de Desarrollo Comunitario,BUESACO,femenino,32
Subsecretaría de Talento Humano,COLON,femenino,79
Secretaría de Recreación y Deporte,OSPINA,masculino,17
Dirección Administrativa de Gestión de Riesgo de Desastres,OLAYA HERRERA,femenino,87
"Secretaría de TIC, Innovación y Gobierno Abierto",LA TOLA,femenino,44
Subsecretaría de Desarrollo Comunitario,CONSACA,femenino,45
Oficina Control Interno Diciplinario,LA FLORIDA,masculino,7
Archivo General,SAMANIEGO,masculino,87
Subsecretaría de Infraestructura y Vías,SAN BERNARDO,masculino,21
Subsecretaría de Gestión Pública,EL CHARCO,masculino,21
Subsecretaría de Presupuesto,ILES,masculino,75
Secretaría de Recreación y Deporte,TUQUERRES,masculino,70
Departamento Administrativo de Contratación,TAMINANGO,femenino,9
Oficina Control Interno Diciplinario,IMUES,masculino,11
Departamento Administrativo de Contratación,TAMINANGO,masculino,22
Subsecretaría de Gestión Ambiental y Crecimiento Verde,ANCUYA,masculino,63
Subsecretaría de Gestión Ambiental y Crecimiento Verde,EL TABLON DE GOMEZ,femenino,71
Subsecretaría de Economía Regional y Agua Potable,SANTACRUZ,masculino,64
Subsecretaría de Gestión Ambiental y Crecimiento Verde,TUMACO,femenino,78
Secretaría de Equidad de Genero e Inclusión Social,BELEN,masculino,62
Departamento Administrativo de Contratación,LINARES,masculino,83
Subsecretaría de Presupuesto,COLON,masculino,11
Dirección Administrativa de Cultura,GUAITARILLA,masculino,22
Subsecretaría de Infraestructura y Vías,CUMBAL,masculino,49
Secretaría General,EL PEÑOL,masculino,18
Oficina Control Interno Diciplinario,OLAYA HERRERA,masculino,33
Subsecretaría Administrativa y Financiera,EL TAMBO,masculino,38
Secretaría de Planeación,ALDANA,masculino,14
Oficina Control Interno de Gestión,PUPIALES,femenino,88
Secretaría de Hacienda,POTOSI,femenino,30
Secretaría de Agricultura y Desarrollo Rural,SAPUYES,femenino,21
Subsecretaría de Desarrollo Comunitario,FRANCISCO PIZARRO,femenino,28
Secretaría de Infraestructura y Minas,ALDANA,femenino,61
Subsecretaría de Talento Humano,LA CRUZ,masculino,78
Subsecretaría de Economía Regional y Agua Potable,MAGUI,femenino,8
Subsecretaría de Gestión Ambiental y Crecimiento Verde,LEIVA,masculino,40
Departamento Administrativo de Contratación,LA TOLA,masculino,61
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",SAMANIEGO,masculino,8
Oficina Control Interno Diciplinario,SANDONA,masculino,11
Subsecretaría de Calidad Educativa,CONTADERO,masculino,16
Secretaría de Educación,MAGUI,femenino,25
Subsecretaría de Asistencia Técnica,YACUANQUER,masculino,81
Departamento Administrativo de Contratación,BARBACOAS,masculino,10
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",CUMBITARA,masculino,33
Subsecretaría de Transito y Trasnporte,MOSQUERA,masculino,33
Subsecretaría de Talento Humano,TANGUA,masculino,88
Secretaría de Ambiente y Desarrollo Sostenible,ALDANA,femenino,83
Subsecretaría de Gestión Ambiental y Crecimiento Verde,SAN PABLO,masculino,65
Subsecretaría de Gestión Pública,GUAITARILLA,masculino,46
Secretaría de Agricultura y Desarrollo Rural,ROBERTO PAYAN,masculino,27
Secretaría de Agricultura y Desarrollo Rural,POTOSI,masculino,74
Dirección Administrativa de Cultura,GUALMATAN,masculino,80
Subsecretaría Administrativa,SAN BERNARDO,masculino,24
Subsecretaría Administrativa,PUPIALES,masculino,23
Subsecretaría de Planeación Educativa y Cobertura,PUERRES,masculino,62
Subsecretaría Administrativa,BARBACOAS,femenino,32
Subsecretaría de Infraestructura y Vías,SAN LORENZO,masculino,56
"Secretaría de TIC, Innovación y Gobierno Abierto",CUMBITARA,femenino,54
Subsecretaría de Minas,OLAYA HERRERA,masculino,76
Subsecretaría de Minas,PUPIALES,masculino,83
Subsecretaría de Economía Regional y Agua Potable,PROVIDENCIA,femenino,87
Secretaría de Ambiente y Desarrollo Sostenible,SAN PEDRO DE CARTAGO,masculino,57
Subsecretaría de Gestión Pública,TUMACO,masculino,11
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",MOSQUERA,femenino,28
Secretaría de Educación,MALLAMA,femenino,30
Dirección Administrativa de Cultura,SANTA BARBARA,masculino,50
Subsecretaría de Economía Regional y Agua Potable,RICAURTE,femenino,8
Subsecretaría de Talento Humano,CUASPUD,femenino,66
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",LA UNION,femenino,29
Secretaría General,ALDANA,masculino,20
Secretaría de Planeación,CUMBITARA,masculino,51
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",SAN BERNARDO,masculino,7
Subsecretaría Administrativa y Financiera,LA TOLA,masculino,67
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",PUPIALES,femenino,86
Secretaría General,LA LLANADA,femenino,48
"Secretaría de TIC, Innovación y Gobierno Abierto",RICAURTE,femenino,27
Subsecretaría de Gestión Pública,LEIVA,masculino,81
Secretaría de Equidad de Genero e Inclusión Social,SAMANIEGO,masculino,19
Subsecretaría de Infraestructura y Vías,MAGUI,femenino,40
Secretaría de Educación,EL PEÑOL,masculino,71
Secretaría de Equidad de Genero e Inclusión Social,CUMBITARA,femenino,25
Secretaría de Gobierno,TUQUERRES,femenino,76
Dirección Administrativa de Gestión de Riesgo de Desastres,PUPIALES,femenino,84
Subsecretaría de Calidad Educativa,CONSACA,masculino,47
Subsecretaría de Gestión Pública,ROBERTO PAYAN,masculino,33
Subsecretaría de Presupuesto,ILES,femenino,49
Oficina Jurídica,ROBERTO PAYAN,masculino,35
Subsecretaría de Gestión Ambiental y Crecimiento Verde,PROVIDENCIA,femenino,63
Subsecretaría de Transito y Trasnporte,FUNES,masculino,27
Archivo General,SAN PABLO,femenino,88
Subsecretaría de Presupuesto,FRANCISCO PIZARRO,masculino,6
Subsecretaría de Transito y Trasnporte,SANTACRUZ,femenino,71
"Secretaría de TIC, Innovación y Gobierno Abierto",MOSQUERA,masculino,20
Secretaría de Recreación y Deporte,MAGUI,femenino,12
Subsecretaría Administrativa,SANTACRUZ,femenino,23
Subsecretaría de Talento Humano,EL TABLON DE GOMEZ,masculino,35
Oficina Control Interno Diciplinario,SAN PEDRO DE CARTAGO,masculino,23
Subsecretaría de Gestión Pública,BUESACO,femenino,53
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",TANGUA,masculino,63
Secretaría de Gobierno,GUAITARILLA,masculino,55
Subsecretaría de Minas,SAN PABLO,femenino,30
Subsecretaría de Minas,SAN PABLO,femenino,72
Subsecretaría de Transito y Trasnporte,CUMBAL,femenino,41
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",NARIÑO,femenino,49
Subsecretaría de Minas,CONTADERO,masculino,15
Secretaría de Hacienda,PUERRES,masculino,55
Subsecretaría de Paz y Derechos Humanos,LINARES,femenino,36
Subsecretaría de Minas,PROVIDENCIA,femenino,44
Secretaría de Hacienda,SAN LORENZO,masculino,49
Secretaría de Ambiente y Desarrollo Sostenible,MAGUI,femenino,30
Archivo General,CUMBAL,masculino,22
Secretaría de Ambiente y Desarrollo Sostenible,LEIVA,femenino,33
Subsecretaría de Presupuesto,CONTADERO,masculino,51
Subsecretaría de Transito y Trasnporte,BARBACOAS,femenino,18
Secretaría General,ALDANA,femenino,14
Subsecretaría de Paz y Derechos Humanos,RICAURTE,femenino,7
Secretaría de Ambiente y Desarrollo Sostenible,LINARES,femenino,74
Subsecretaría de Calidad Educativa,MALLAMA,femenino,34
Secretaría de Hacienda,LA LLANADA,masculino,35
Secretaría General,GUALMATAN,masculino,72
"Secretaría de TIC, Innovación y Gobierno Abierto",ALBAN,masculino,24
Oficina Control Interno de Gestión,IPIALES,femenino,33
Dirección Administrativa de Turismo,LOS ANDES,femenino,23
Secretaría General,SAMANIEGO,masculino,43
Subsecretaría de Presupuesto,TANGUA,masculino,84
Secretaría de Hacienda,EL CHARCO,femenino,53
Secretaría de Ambiente y Desarrollo Sostenible,LA LLANADA,masculino,39
Subsecretaría de Gestión Pública,OLAYA HERRERA,masculino,26
Departamento Administrativo de Contratación,CUMBITARA,femenino,79
Secretaría de Planeación,YACUANQUER,femenino,72
Subsecretaría Administrativa y Financiera,LA UNION,masculino,48
Subsecretaría de Talento Humano,EL CHARCO,femenino,76
Secretaría de Educación,SANTACRUZ,femenino,83
"Secretaría de TIC, Innovación y Gobierno Abierto",ROBERTO PAYAN,femenino,36
Secretaría de Ambiente y Desarrollo Sostenible,ILES,femenino,41
Oficina Control Interno de Gestión,PROVIDENCIA,femenino,50
Secretaría de Agricultura y Desarrollo Rural,EL TAMBO,masculino,85
Subsecretaría de Transito y Trasnporte,YACUANQUER,femenino,32
Dirección Administrativa de Turismo,CUMBAL,femenino,73
Subsecretaría Administrativa,EL TAMBO,masculino,12
Subsecretaría de Desarrollo Comunitario,MALLAMA,masculino,82
Subsecretaría Administrativa y Financiera,GUAITARILLA,femenino,28
Secretaría de Hacienda,EL TAMBO,femenino,78
Secretaría de Gobierno,CUMBAL,masculino,57
Subsecretaría de Rentas,BARBACOAS,femenino,45
Secretaría de Ambiente y Desarrollo Sostenible,LA TOLA,masculino,43
Dirección Administrativa de Turismo,IMUES,masculino,25
Secretaría de Educación,ALBAN,masculino,60
Subsecretaría de Minas,MALLAMA,masculino,48
Subsecretaría de Presupuesto,SAPUYES,masculino,17
Secretaría de Ambiente y Desarrollo Sostenible,SANTACRUZ,femenino,85
Secretaría de Planeación,LA FLORIDA,masculino,86
Secretaría de Educación,LINARES,masculino,73
Secretaría de Equidad de Genero e Inclusión Social,EL TAMBO,masculino,17
Secretaría de Infraestructura y Minas,BUESACO,femenino,8
Subsecretaría Administrativa,ALDANA,femenino,74
Subsecretaría de Desarrollo Comunitario,ALDANA,femenino,23
Subsecretaría Administrativa,CHACHAGUI,masculino,33
Secretaría de Equidad de Genero e Inclusión Social,CUMBAL,femenino,25
Secretaría de Equidad de Genero e Inclusión Social,FUNES,masculino,54
Subsecretaría de Economía Regional y Agua Potable,ROBERTO PAYAN,femenino,69
Subsecretaría de Planeación Educativa y Cobertura,ARBOLEDA,femenino,44
Subsecretaría de Talento Humano,COLON,femenino,63
Subsecretaría de Desarrollo Comunitario,SANTA BARBARA,masculino,41
Subsecretaría de Paz y Derechos Humanos,IMUES,femenino,75
Secretaría de Infraestructura y Minas,CHACHAGUI,masculino,25
Subsecretaría Administrativa,SAN PEDRO DE CARTAGO,masculino,55
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",PUPIALES,femenino,31
Secretaría de Equidad de Genero e Inclusión Social,TUQUERRES,femenino,38
Secretaría de Planeación,TUQUERRES,masculino,49
Subsecretaría de Planeación Educativa y Cobertura,CUMBAL,masculino,78
Secretaría de Gobierno,GUALMATAN,femenino,70
Departamento Administrativo de Contratación,PUPIALES,femenino,59
Subsecretaría de Paz y Derechos Humanos,SAN PABLO,femenino,85
Subsecretaría de Talento Humano,EL TAMBO,femenino,47
Secretaría de Agricultura y Desarrollo Rural,ROBERTO PAYAN,femenino,62
Departamento Administrativo de Contratación,LOS ANDES,masculino,27
Subsecretaría de Presupuesto,IPIALES,masculino,74
Secretaría de Agricultura y Desarrollo Rural,SAMANIEGO,femenino,38
Departamento Administrativo de Contratación,IMUES,femenino,5
Subsecretaría de Asistencia Técnica,LINARES,masculino,24
Subsecretaría de Gestión Ambiental y Crecimiento Verde,TAMINANGO,femenino,53
Secretaría de Equidad de Genero e Inclusión Social,GUAITARILLA,masculino,83
Secretaría General,CUMBITARA,masculino,53
Secretaría de Planeación,BARBACOAS,masculino,16
Oficina Control Interno Diciplinario,SAN PABLO,masculino,9
Secretaría de Infraestructura y Minas,ARBOLEDA,femenino,5
Subsecretaría de Asistencia Técnica,SANTACRUZ,masculino,83
Secretaría de Agricultura y Desarrollo Rural,PROVIDENCIA,femenino,67
Subsecretaría de Talento Humano,PUPIALES,masculino,50
Secretaría de Equidad de Genero e Inclusión Social,SAPUYES,masculino,59
"Secretaría de TIC, Innovación y Gobierno Abierto",IPIALES,femenino,51
Oficina Jurídica,CONTADERO,masculino,60
Subsecretaría de Transito y Trasnporte,SAN LORENZO,masculino,48
Dirección Administrativa de Gestión de Riesgo de Desastres,POTOSI,femenino,58
Subsecretaría de Infraestructura y Vías,EL TAMBO,femenino,11
Dirección Administrativa de Gestión de Riesgo de Desastres,YACUANQUER,masculino,29
Dirección Administrativa de Gestión de Riesgo de Desastres,SAN LORENZO,femenino,47
Subsecretaría Administrativa,SAN PABLO,femenino,48
Secretaría de Hacienda,BUESACO,masculino,53
Secretaría de Agricultura y Desarrollo Rural,GUAITARILLA,femenino,19
Secretaría de Gobierno,LA LLANADA,masculino,53
Dirección Administrativa de Gestión de Riesgo de Desastres,SAMANIEGO,femenino,74
Oficina Control Interno de Gestión,CUMBITARA,femenino,39
Subsecretaría de Desarrollo Comunitario,BARBACOAS,femenino,64
Oficina Control Interno de Gestión,SANDONA,femenino,64
Archivo General,BUESACO,masculino,85
Subsecretaría de Asistencia Técnica,CONTADERO,masculino,31
Subsecretaría de Economía Regional y Agua Potable,EL CHARCO,femenino,76
Subsecretaría de Transito y Trasnporte,EL TABLON DE GOMEZ,masculino,71
Subsecretaría de Desarrollo Comunitario,LA UNION,masculino,5
"Secretaría de TIC, Innovación y Gobierno Abierto",LINARES,femenino,24
Subsecretaría de Asistencia Técnica,CONTADERO,femenino,54
Subsecretaría de Infraestructura y Vías,SAMANIEGO,femenino,51
Departamento Administrativo de Contratación,SANTA BARBARA,masculino,60
Subsecretaría de Gestión Pública,LA LLANADA,masculino,53
Subsecretaría de Transito y Trasnporte,CORDOBA,masculino,38
Subsecretaría de Talento Humano,ALBAN,femenino,49
Subsecretaría Administrativa y Financiera,GUAITARILLA,femenino,61
Secretaría de Hacienda,EL CHARCO,masculino,6
Secretaría de Gobierno,CONTADERO,femenino,37
Subsecretaría de Presupuesto,COLON,masculino,54
Subsecretaría de Desarrollo Comunitario,BUESACO,masculino,43
Secretaría de Equidad de Genero e Inclusión Social,SANDONA,femenino,88
Secretaría de Ambiente y Desarrollo Sostenible,MAGUI,femenino,13
Archivo General,ANCUYA,masculino,67
Subsecretaría de Transito y Trasnporte,SAN PEDRO DE CARTAGO,femenino,6
Subsecretaría de Desarrollo Comunitario,GUAITARILLA,masculino,28
Oficina Jurídica,CONTADERO,masculino,27
